name,error,ourWeekSub,sbWeekSub,ourWeekPaid,sbWeekPaid,ourWeekOop,sbWeekOop,ourFnOop,sbFnOop,ourFnFees,sbFnFees,ourPct,sbShownPct,dWeekSub,dWeekPaid,dWeekOop,dFnOop,dFnFees,pass
gen-355,,58.34,58.33,55.42,55.41,700.58,700.6,1401.16,1401.19,1512,1512,54.83,55,0.01,0.01,-0.02,-0.03,0,false
gen-356,,483.93,483.96,459.74,459.76,607.26,607.24,1214.52,1214.48,2134,2134,83.9,84,-0.03,-0.02,0.02,0.04,0,false
gen-357,,2.2,2.1,2.09,2,649.92,650.01,1299.83,1300.01,1304,1304,0.55,1,0.1,0.09,-0.09,-0.18,0,false
gen-358,,60.37,60.4,57.35,57.38,687.65,687.62,1375.3,1375.24,1490,1490,45.39,45,-0.03,-0.03,0.03,0.06,0,false
gen-359,,20.71,20.88,19.67,19.84,584.33,584.17,1168.66,1168.33,1208,1208,4.19,4,-0.17,-0.17,0.16,0.33,0,false
gen-360,,256.68,256.75,243.85,243.91,179.16,179.1,358.31,358.19,846,846,60.68,61,-0.07,-0.06,0.06,0.12,0,false
gen-361,,497.73,497.72,472.84,472.84,917.16,917.17,1834.32,1834.33,2780,2780,64.14,64,0.01,0,-0.01,-0.01,0,true
gen-362,,323.19,323.19,307.04,307.03,951.97,951.97,1903.94,1903.94,2518,2518,90,90,0,0.01,0,0,0,true
gen-363,,1074.04,1073.92,1020.34,1020.22,972.67,972.78,1945.33,1945.56,3986,3986,82.39,82,0.12,0.12,-0.11,-0.23,0,false
gen-364,,170.29,170.27,161.77,161.76,743.23,743.24,1486.46,1486.47,1810,1810,31.14,31,0.02,0.01,-0.01,-0.01,0,false
gen-365,,584.7,584.58,555.46,555.35,683.54,683.65,1367.08,1367.3,2478,2478,81.98,82,0.12,0.11,-0.11,-0.22,0,false
gen-366,,33.42,33.32,31.76,31.66,1071.24,1071.35,2142.48,2142.69,2206,2206,3.71,4,0.1,0.1,-0.11,-0.21,0,false
gen-367,,0,0,0,0,468,468,936,936,936,936,0,0,0,0,0,0,0,true
gen-368,,0,0,0,0,202,202,404,404,404,404,0,0,0,0,0,0,0,true
gen-369,,319.14,318.96,303.18,303.01,356.82,356.99,713.64,713.98,1320,1320,58.36,58,0.18,0.17,-0.17,-0.34,0,false
gen-370,,385.2,385.2,365.94,365.94,169.06,169.06,338.12,338.12,1070,1070,90,90,0,0,0,0,0,true
gen-371,,128.91,128.8,122.46,122.36,565.54,565.64,1131.08,1131.28,1376,1376,30.09,30,0.11,0.1,-0.1,-0.2,0,false
gen-372,,33.55,33.57,31.87,31.89,129.14,129.11,258.27,258.22,322,322,26.47,26,-0.02,-0.02,0.03,0.05,0,false
gen-373,,278.77,278.64,264.83,264.71,47.17,47.29,94.33,94.58,624,624,89.35,89,0.13,0.12,-0.12,-0.25,0,false
gen-374,,219.53,171.37,208.55,162.81,103.45,149.21,206.9,298.4,624,624,54.94,55,48.16,45.74,-45.76,-91.5,0,false
gen-375,,188.1,188,178.7,178.6,541.3,541.4,1082.61,1082.8,1440,1440,31.35,31,0.1,0.1,-0.1,-0.19,0,false
gen-376,,221.27,221.4,210.2,210.33,230.8,230.67,461.6,461.34,882,882,53.95,54,-0.13,-0.13,0.13,0.26,0,false
gen-377,,479.07,479,455.12,455.05,994.89,994.95,1989.77,1989.9,2900,2900,72.04,72,0.07,0.07,-0.06,-0.13,0,false
gen-378,,10.34,10.33,9.82,9.81,338.18,338.2,676.35,676.39,696,696,9.72,10,0.01,0.01,-0.02,-0.04,0,false
gen-379,,34.38,34.43,32.66,32.71,115.34,115.29,230.68,230.58,296,296,23.23,23,-0.05,-0.05,0.05,0.1,0,false
gen-380,,52.18,52.08,49.57,49.48,916.43,916.53,1832.86,1833.05,1932,1932,11.45,11,0.1,0.09,-0.1,-0.19,0,false
gen-381,,248.85,128.95,236.41,122.5,233.59,206.51,467.18,413.01,940,658,59.73,60,119.9,113.91,27.08,54.17,282,false
gen-382,,0,0,0,0,1077,1077,2154,2154,2154,2154,0,0,0,0,0,0,0,true
gen-383,,7.46,7.51,7.09,7.13,1042.91,1042.88,2085.82,2085.75,2100,2100,5.61,6,-0.05,-0.04,0.03,0.07,0,false
gen-384,,908.06,620.97,862.66,589.92,922.34,643.08,1844.68,1286.16,3570,2466,52.04,77,287.09,272.74,279.26,558.52,1104,false
gen-385,,815.75,271.06,774.96,257.51,287.04,140.5,574.08,280.99,2124,796,68.08,68,544.69,517.45,146.54,293.09,1328,false
gen-386,,150.79,76.68,143.26,72.85,1946.75,927.16,3893.49,1854.31,4180,2000,8.51,9,74.11,70.41,1019.59,2039.18,2180,false
gen-387,,1.83,1.61,1.74,1.53,2114.27,2114.48,4228.53,4228.95,4232,4232,0.16,0,0.22,0.21,-0.21,-0.42,0,false
gen-388,,42.78,42.81,40.64,40.67,188.37,188.34,376.73,376.67,458,458,26.84,27,-0.03,-0.03,0.03,0.06,0,false
gen-389,,221.74,107.48,210.65,102.11,1854.35,902.9,3708.7,1805.79,4130,2010,14.96,15,114.26,108.54,951.45,1902.91,2120,false
gen-390,,83.81,83.77,79.61,79.58,538.39,538.43,1076.77,1076.85,1236,1236,24.8,25,0.04,0.03,-0.04,-0.08,0,false
gen-391,,45.23,45.29,42.97,43.02,1193.03,1193,2386.06,2385.98,2472,2472,8.66,9,-0.06,-0.05,0.03,0.08,0,false
